20230724	19:44:46	48a54ec0-a4a7-4db1-bf77-46a49d7469d4	GET	 undefined	 /css/style.css
20230724	19:44:47	1d02bbf4-4e4e-4eb5-a607-7c9170e23405	GET	 undefined	 /
20230724	19:44:47	4621b9a5-2417-4dde-b9d3-4addccd8f5c9	GET	 undefined	 /css/style.css
20230724	19:44:47	bbd917ec-31d9-459d-93bb-4c9daadc3c96	GET	 undefined	 /
20230724	19:44:47	5802d53f-8836-4cff-9692-21b8f3e2ab41	GET	 undefined	 /css/style.css
20230724	19:44:47	46734a72-4219-46c0-9043-8ddf2d97bdda	GET	 undefined	 /
20230724	19:44:47	795f3676-15fb-4480-b6ca-adc0ef39019c	GET	 undefined	 /css/style.css
20230724	19:44:48	1e3e600d-dbf1-4876-acf3-e8d63a5277e8	GET	 undefined	 /
20230724	19:44:48	6e481bf3-8a5d-4ee6-8c84-ae68098c491c	GET	 undefined	 /css/style.css
20230724	19:44:48	37e2f61e-6b6b-481c-83d6-bc7d92c5e56e	GET	 undefined	 /
20230724	19:44:48	dd5d6c0a-8583-476b-a479-656f662c838c	GET	 undefined	 /css/style.css
20230724	19:44:49	d27ca728-5c40-4cd2-8a01-3685dfa3da74	GET	 undefined	 /
20230724	19:44:49	d3107684-e55e-41e2-8be3-1b6f21a7b1fe	GET	 undefined	 /css/style.css
20230724	19:44:49	9de4268c-017c-4e46-be88-8f3d9d974fae	GET	 undefined	 /
20230724	19:44:49	7a2782f7-7f75-4ded-9f50-51ec13748ffa	GET	 undefined	 /css/style.css
20230724	19:44:50	2882a248-be0e-4c52-9e8c-6e0c2ca52cfb	GET	 undefined	 /
20230724	19:44:50	d3bca7f6-5ef9-44fa-9a59-d2f5a3afee82	GET	 undefined	 /css/style.css
20230724	19:44:50	470283d1-06b3-4b30-9d6f-cb8ad4696396	GET	 undefined	 /
20230724	19:44:50	58a9db7a-9ed6-4bc4-8fca-fa261c46b8ee	GET	 undefined	 /css/style.css
20230724	19:44:51	92e331ea-0fb8-41f2-b53d-44bf58af5af4	GET	 undefined	 /
20230724	19:44:51	842ffd97-7838-4485-9ca5-318b38c4327b	GET	 undefined	 /css/style.css
20230724	19:44:51	9d2bfe0b-8ad3-4f7a-9b70-44f49f38e5bb	GET	 undefined	 /
20230724	19:44:51	31a6f641-1df2-4123-a385-91c2ec2fd612	GET	 undefined	 /css/style.css
20230724	19:44:52	7ed999df-5208-4132-a516-9c53fcbd06ba	GET	 undefined	 /
20230724	19:44:52	5ab9cf66-adb0-4485-b7fb-fbb7941ca33f	GET	 undefined	 /css/style.css
